sce cor SNPtype bias trait method Category
1 0.227032419409383 ieQTL 0.746765673497981 Fat_yield singletraitfy Functional_GS
2 0.269198388003057 ieQTL 0.965250468806026 Fat_yield singletraitfy Functional_GS
3 0.255446366535501 ieQTL 1.01185335968572 Fat_yield singletraitfy Functional_GS
4 0.250949103355384 ieQTL 1.07016856659249 Fat_yield singletraitfy Functional_GS
5 0.236620118484163 ieQTL 1.07633114975038 Fat_yield singletraitfy Functional_GS
1 0.392548799159513 ieQTL 0.940757830711824 Milk_volume singletraitmv Functional_GS
2 0.380813199999079 ieQTL 0.980306667033106 Milk_volume singletraitmv Functional_GS
3 0.35491313331816 ieQTL 1.01485528714129 Milk_volume singletraitmv Functional_GS
4 0.319809568186924 ieQTL 1.03288499158194 Milk_volume singletraitmv Functional_GS
5 0.289920278132972 ieQTL 0.934027503659708 Milk_volume singletraitmv Functional_GS
1 0.316223095738561 ieQTL 0.799531519862958 Protein_yield singletraitfp Functional_GS
2 0.339543701874185 ieQTL 0.979505609650378 Protein_yield singletraitfp Functional_GS
3 0.321371175147987 ieQTL 1.02792411546802 Protein_yield singletraitfp Functional_GS
4 0.315087727005697 ieQTL 1.07474919538118 Protein_yield singletraitfp Functional_GS
5 0.285203296748268 ieQTL 1.03424783190533 Protein_yield singletraitfp Functional_GS
1 0.226852062320277 ieQTL 0.759671028356559 Fat_yield singletraitfy Current_GS
2 0.265467336159566 ieQTL 0.981258630393483 Fat_yield singletraitfy Current_GS
3 0.249352935549748 ieQTL 1.01710523376988 Fat_yield singletraitfy Current_GS
4 0.256014770618728 ieQTL 1.12917516399102 Fat_yield singletraitfy Current_GS
5 0.223686436632037 ieQTL 1.04303184593692 Fat_yield singletraitfy Current_GS
1 0.38150848175333 ieQTL 0.92795980218686 Milk_volume singletraitmv Current_GS
2 0.367387334970096 ieQTL 0.966078374388838 Milk_volume singletraitmv Current_GS
3 0.349382771230006 ieQTL 1.02295413320384 Milk_volume singletraitmv Current_GS
4 0.312145218824551 ieQTL 1.07848500844612 Milk_volume singletraitmv Current_GS
5 0.282704892545796 ieQTL 0.993574270160956 Milk_volume singletraitmv Current_GS
1 0.314624803540061 ieQTL 0.786090157836015 Protein_yield singletraitfp Current_GS
2 0.330949714590655 ieQTL 0.950797850521856 Protein_yield singletraitfp Current_GS
3 0.319321383929144 ieQTL 1.02390192587304 Protein_yield singletraitfp Current_GS
4 0.314922115736483 ieQTL 1.12590408440242 Protein_yield singletraitfp Current_GS
5 0.279075735750571 ieQTL 1.07606601654088 Protein_yield singletraitfp Current_GS
